image,mode,bpp,psnr_db,compression_rate,k,m,g,psnr_ok_30db
BDD/test_191.ppm,SLIC,17.720703125,28.3746,1.2484294059296814,455.0,1.0,1.0,False
BDD/test_191.ppm,slicCC,12.87890625,21.4277,1.7177737336973007,1024.0,0.4,1.0,False
BDD/test_192.ppm,SLIC,12.828125,30.6507,1.3797198538367843,455.0,1.0,1.0,True
BDD/test_192.ppm,slicCC,11.306640625,28.0075,1.5653826222145448,1024.0,0.5,1.0,False
BDD/test_193.ppm,SLIC,10.900390625,31.0266,1.536462999462462,256.0,1.0,1.0,True
BDD/test_193.ppm,slicCC,10.921875,30.0358,1.5334406294706724,1024.0,1.0,1.0,True
BDD/test_194.ppm,SLIC,14.478515625,29.5038,1.3170106569539997,455.0,0.05,1.0,False
BDD/test_194.ppm,slicCC,11.7578125,25.5194,1.6217607973421926,1024.0,0.05,1.0,False
BDD/test_195.ppm,SLIC,10.556640625,30.2905,1.6364477335800185,64.0,0.05,1.0,True
BDD/test_195.ppm,slicCC,11.14453125,26.6218,1.5501226778829302,1024.0,1.0,1.0,False
BDD/test_196.ppm,SLIC,15.966796875,31.2836,1.2264220183486239,455.0,1.0,1.0,True
BDD/test_196.ppm,slicCC,11.720703125,25.3407,1.6707215464089318,1024.0,0.1,1.0,False
BDD/test_197.ppm,SLIC,17.451171875,25.9239,1.2754336877448238,455.0,0.7,1.0,False
BDD/test_197.ppm,slicCC,12.111328125,17.5785,1.8377681019190453,1024.0,0.5,1.0,False
BDD/test_198.ppm,SLIC,13.818359375,31.2727,1.324946996466431,455.0,0.5,1.0,True
BDD/test_198.ppm,slicCC,10.703125,25.3935,1.7105839416058395,1024.0,0.7,1.0,False
BDD/test_199.ppm,SLIC,16.349609375,27.213,1.3226615697049338,455.0,0.4,1.0,False
BDD/test_199.ppm,slicCC,12.640625,21.9405,1.7107540173053153,1024.0,0.05,1.0,False
BDD/test_2.ppm,SLIC,16.412109375,23.8521,1.370224919671546,455.0,0.4,1.0,False
BDD/test_2.ppm,slicCC,12.974609375,19.0774,1.7332530483215414,1024.0,1.0,1.0,False
BDD/test_20.ppm,SLIC,14.83984375,27.9925,1.3435114503816794,455.0,0.7,1.0,False
BDD/test_20.ppm,slicCC,11.515625,22.9107,1.7313432835820894,1024.0,1.0,1.0,False
BDD/test_200.ppm,SLIC,16.013671875,28.3488,1.3296743505305526,455.0,0.4,1.0,False
BDD/test_200.ppm,slicCC,12.640625,22.5127,1.684487021013597,1024.0,0.4,1.0,False
BDD/test_201.ppm,SLIC,14.87109375,30.7506,1.314026792750197,455.0,0.3,1.0,True
BDD/test_201.ppm,slicCC,12.169921875,25.5248,1.6056812710640347,1024.0,0.05,1.0,False
BDD/test_202.ppm,SLIC,13.833984375,30.9029,1.2294225610616971,455.0,1.0,1.0,True
BDD/test_202.ppm,slicCC,10.953125,26.6326,1.5527817403708988,1024.0,0.3,1.0,False
BDD/test_203.ppm,SLIC,11.91015625,29.4978,1.4693342079370286,455.0,0.3,1.0,False
BDD/test_203.ppm,slicCC,10.1484375,25.2109,1.7244033872209392,1024.0,1.0,1.0,False
BDD/test_204.ppm,SLIC,8.169921875,31.5207,1.8438919435811618,64.0,0.05,1.0,True
BDD/test_204.ppm,slicCC,9.720703125,29.8192,1.5497287522603977,1024.0,0.05,1.0,False
BDD/test_205.ppm,SLIC,9.943359375,32.7384,1.5629542329601258,256.0,0.7,1.0,True
BDD/test_205.ppm,slicCC,10.705078125,30.6003,1.4517423827768656,1024.0,0.3,1.0,True
BDD/test_206.ppm,SLIC,15.037109375,24.423,1.4083647226912586,1024.0,0.4,1.0,False
BDD/test_206.ppm,slicCC,12.525390625,22.7438,1.6907843443006394,1024.0,1.0,1.0,False
BDD/test_207.ppm,SLIC,18.65234375,25.8536,1.2480628272251308,455.0,0.4,1.0,False
BDD/test_207.ppm,slicCC,12.98828125,19.3326,1.7923308270676692,1024.0,0.4,1.0,False
BDD/test_208.ppm,SLIC,11.30078125,30.7759,1.4680262703076392,256.0,0.2,1.0,True
BDD/test_208.ppm,slicCC,10.994140625,28.6998,1.5089713981168946,1024.0,0.05,1.0,False
BDD/test_209.ppm,SLIC,8.544921875,30.1625,2.027657142857143,64.0,0.7,4.0,True
BDD/test_209.ppm,slicCC,11.59765625,28.6608,1.4939373526439879,1024.0,0.05,1.0,False
BDD/test_21.ppm,SLIC,17.259765625,28.7579,1.2421636301912413,455.0,1.0,1.0,False
BDD/test_21.ppm,slicCC,12.759765625,23.5192,1.6802387876932496,1024.0,0.05,1.0,False
BDD/test_210.ppm,SLIC,8.384765625,30.6008,1.9641276496622408,64.0,1.0,3.0,True
BDD/test_210.ppm,slicCC,10.87890625,29.9693,1.5138240574506283,1024.0,0.7,1.0,False
BDD/test_211.ppm,SLIC,16.060546875,27.4327,1.291013012282622,455.0,1.0,1.0,False
BDD/test_211.ppm,slicCC,12.322265625,21.0312,1.6826755428752576,1024.0,0.4,1.0,False
BDD/test_212.ppm,SLIC,16.8828125,29.3565,1.2548588616381304,455.0,0.5,1.0,False
BDD/test_212.ppm,slicCC,12.41796875,22.5979,1.706039635105379,1024.0,1.0,1.0,False
BDD/test_213.ppm,SLIC,11.095703125,32.5957,1.508361204013378,256.0,0.4,1.0,True
BDD/test_213.ppm,slicCC,10.6328125,29.4156,1.5740264511388684,1024.0,0.3,1.0,False
BDD/test_214.ppm,SLIC,6.775390625,32.6008,1.9561833381377918,64.0,1.0,3.0,True
BDD/test_214.ppm,slicCC,9.494140625,29.8624,1.396009051635466,1024.0,0.05,1.0,False
BDD/test_215.ppm,SLIC,15.4453125,28.2852,1.3332068791097622,455.0,0.5,1.0,False
BDD/test_215.ppm,slicCC,12.09765625,24.4377,1.7021310946076849,1024.0,0.5,1.0,False
BDD/test_216.ppm,SLIC,7.28515625,31.745,1.8954423592493297,64.0,1.0,2.0,True
BDD/test_216.ppm,slicCC,9.767578125,29.4531,1.4137172565486902,1024.0,1.0,1.0,False
BDD/test_217.ppm,SLIC,14.416015625,28.5768,1.359571873729847,455.0,0.7,1.0,False
BDD/test_217.ppm,slicCC,11.552734375,24.6723,1.6965342349957735,1024.0,1.0,1.0,False
BDD/test_218.ppm,SLIC,15.75,28.1991,1.3074156746031746,455.0,1.0,1.0,False
BDD/test_218.ppm,slicCC,12.0703125,22.9334,1.7059870550161813,1024.0,0.05,1.0,False
